"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Price","Inventory quantity","Product image URL","Variant image URL"
"5 Panel Camp Cap","5-panel-hat","This is a demonstration store. You can purchase products like this from United By Blue.
A classic 5 panel hat with our United By Blue logo on the front and an adjustable strap to keep fit and secure. Made with recycled polyester and organic cotton mix.

Made in New Jersey
7oz Eco-Twill fabric: 35% organic cotton, 65% recycled PET (plastic water and soda bottles) 
Embossed leather patch


 
","United By Blue","Accessories","Accessories","Accessories",true,"active","4255","48.00",2,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/5-panel-hat_4ee20a27-8d5a-490e-a2fc-1f9c3beb7bf5.jpg?v=1738142634",""
"7 Shakra Bracelet","chain-bracelet","7 chakra bracelet, in blue or black.","Company 123","Bracelet","Bracelet","Beads",true,"active","","42.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/7-chakra-bracelet_925x_c0c574b7-c00a-45e3-bd62-f7cc86f15101.jpg?v=1737622159","https://cdn.shopify.com/s/files/1/0673/4426/9512/files/navy-blue-chakra-bracelet_925x_5d18a6e6-bef7-49d8-a3c0-acc391d599f1.jpg?v=1737622159"
"abc product","abc-product","productship.io","hamzateststorepk","","","",true,"active","","14.00",-6,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/images_bd42e096-a307-4f66-8ad8-e608631f3603.jpg?v=1734090079",""
"Anchor Bracelet Mens","leather-anchor","Black leather bracelet with gold or silver anchor for men.","Company 123","Bracelet","Bracelet","Anchor, Gold, Leather, Silver",true,"active","","69.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/anchor-bracelet-mens_925x_8aee04b0-e742-498e-9fbb-b4cdd31612e5.jpg?v=1737622163","https://cdn.shopify.com/s/files/1/0673/4426/9512/files/anchor-bracelet-mens_925x_8aee04b0-e742-498e-9fbb-b4cdd31612e5.jpg?v=1737622163"
"Antique Drawers","antique-drawers","Antique wooden chest of drawers","Company 123","Indoor","Indoor","Antique, Bedroom",true,"active","","250.00",2,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/babys-room_925x_c719929c-171b-4c38-b768-f002e9db99b4.jpg?v=1737622039",""
"autumn bird","autumn-bird","","hamzateststorepk","","","",false,"active","","0.00",0,"",""
"autumn dew","autumn-dew","","hamzateststorepk","","","",false,"active","","0.00",0,"",""
"Ayres Chambray","ayers-chambray","This is a demonstration store. You can purchase products like this from United By Blue.
Comfortable and practical, our chambray button down is perfect for travel or days spent on the go. The Ayres Chambray has a rich, washed out indigo color suitable to throw on for any event. Made with sustainable soft chambray featuring two chest pockets with sturdy and scratch resistant corozo buttons.

100% Organic Cotton Chambray, 4.9 oz Fabric.
Natural Corozo Buttons.
","United By Blue","Mens","Mens","Shirts",true,"active","43MCHBL2","98.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/chambray_5f232530-4331-492a-872c-81c225d6bafd.jpg?v=1738142592",""
"Bangle Bracelet","bangle-bracelet","Gold bangle bracelet with studded jewels.","Company 123","Bracelet","Bracelet","Diamond, Gem, Gold",true,"active","","39.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/bangle-bracelet-with-jewels_925x_9e8d574a-4bc5-4510-8e2c-f76ac51ade9c.jpg?v=1737622165",""
"Bedside Table","bedside-table","Wooden bedside table","Company 123","Indoor","Indoor","Bedroom, Wood",true,"active","","69.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/dark-wall-bedside-table_925x_6b33de43-10be-45c0-84af-6f9f95fddd72.jpg?v=1737622067",""
"billowing dust","billowing-dust","","hamzateststorepk","","","",false,"active","","0.00",0,"",""
"Biodegradable cardboard pots","biodegradable-cardboard-pots","Biodegradable outdoor cardboard pots","Rustic LTD","Outdoor","Outdoor","Garden, Plants",true,"active","","10.00",8,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/potted-seeds_925x_9d6c9f68-f38b-41c9-be0a-081e754d1f17.jpg?v=1737622053",""
"Black Beanbag","black-bean-bag","Black leather beanbag","Company 123","Indoor","Indoor","Black, Leather",true,"active","","69.99",6,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/comfortable-living-room-cat_925x_89a5fac9-6cbd-49f8-997c-f36c878a2a73.jpg?v=1737622066",""
"Black Leather Bag","black-leather-bag","Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.","partners-demo","","","women",true,"active","","30.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/black-bag-over-the-shoulder_925x_672e4a70-2bf0-4242-b0b2-15d1a1ce7cc1.jpg?v=1737622112",""
"Blue Silk Tuxedo","blue-silk-tuxedo","Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.","partners-demo","","","men",true,"active","","70.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/man-adjusts-blue-tuxedo-bowtie_925x_2f576652-941a-4b8a-97e9-38660df9b2e8.jpg?v=1737622125",""
"Boho Bangle Bracelet","bangle-bracelet-with-feathers","Gold boho bangle bracelet with multicolor tassels.","Company 123","Bracelet","Bracelet","Gold",true,"active","","42.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/bangle-bracelet-with-feathers_925x_afe95493-dd00-4ccf-99f5-264420134c09.jpg?v=1737622167",""
"Boho Earrings","boho-earrings","Turquoise globe earrings on 14k gold hooks.","Company 123","Earrings","Earrings","Silver, Turquoise",true,"active","","27.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/boho-earrings_925x_57c53940-9f9e-4cd6-bf7f-95393ea1e56e.jpg?v=1737622171",""
"broken leaf","broken-leaf","","hamzateststorepk","","","",false,"active","","0.00",0,"",""
"Brown Throw Pillows","brown-throw-pillows","Stylish brown throw pillows","Rustic LTD","Indoor","Indoor","Pillows",true,"active","","19.99",5,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/bedroom-bed-with-brown-throw-pillows_925x_8bc86f96-0bf6-4bce-93d4-695ad08daed6.jpg?v=1737622046",""
